ip,group
23.247.215.67,dns.nextdns.io
45.90.29.17,dns.nextdns.io
45.90.29.48,dns.nextdns.io
45.90.30.78,dns.nextdns.io
45.90.31.210,dns.nextdns.io
200.25.53.117,dns.nextdns.io
23.247.212.226,dns.nextdns.io
23.247.213.118,dns.nextdns.io
23.247.213.254,dns.nextdns.io
23.247.214.250,dns.nextdns.io
23.247.215.174,dns.nextdns.io
45.90.29.174,dns.nextdns.io
45.90.29.62,dns.nextdns.io
45.90.31.109,dns.nextdns.io
45.90.31.24,dns.nextdns.io
119.252.80.57,dns.nextdns.io
23.247.212.128,dns.nextdns.io
23.247.212.27,dns.nextdns.io
23.247.213.23,dns.nextdns.io
23.247.214.222,dns.nextdns.io
23.247.215.7,dns.nextdns.io
45.90.28.161,dns.nextdns.io
45.90.28.19,dns.nextdns.io
45.90.28.24,dns.nextdns.io
45.90.28.8,dns.nextdns.io
45.90.29.251,dns.nextdns.io
45.90.30.55,dns.nextdns.io
45.90.31.19,dns.nextdns.io
119.252.86.27,dns.nextdns.io
188.172.223.3,dns.nextdns.io
23.247.212.145,dns.nextdns.io
23.247.213.117,dns.nextdns.io
23.247.213.252,dns.nextdns.io
23.247.214.247,dns.nextdns.io
23.247.215.173,dns.nextdns.io
45.90.28.5,dns.nextdns.io
45.90.28.77,dns.nextdns.io
45.90.28.84,dns.nextdns.io
45.90.29.193,dns.nextdns.io
45.90.29.74,dns.nextdns.io
45.90.31.173,dns.nextdns.io
130.185.255.146,dns.nextdns.io
23.247.212.227,dns.nextdns.io
23.247.213.12,dns.nextdns.io
23.247.213.9,dns.nextdns.io
23.247.215.102,dns.nextdns.io
23.247.215.29,dns.nextdns.io
45.90.29.141,dns.nextdns.io
45.90.29.27,dns.nextdns.io
45.90.30.25,dns.nextdns.io
45.90.31.16,dns.nextdns.io
45.90.31.61,dns.nextdns.io
23.247.212.216,dns.nextdns.io
23.247.213.165,dns.nextdns.io
23.247.213.71,dns.nextdns.io
23.247.214.99,dns.nextdns.io
23.247.215.227,dns.nextdns.io
45.90.28.13,dns.nextdns.io
45.90.28.229,dns.nextdns.io
45.90.28.69,dns.nextdns.io
45.90.30.19,dns.nextdns.io
45.90.31.1,dns.nextdns.io
45.90.31.67,dns.nextdns.io
192.121.87.101,dns.nextdns.io
217.146.10.59,dns.nextdns.io
23.247.212.254,dns.nextdns.io
23.247.213.147,dns.nextdns.io
45.90.29.22,dns.nextdns.io
45.90.31.115,dns.nextdns.io
45.90.31.27,dns.nextdns.io
188.172.192.71,dns.nextdns.io
23.247.212.14,dns.nextdns.io
23.247.214.238,dns.nextdns.io
23.247.215.244,dns.nextdns.io
45.90.28.78,dns.nextdns.io
45.90.29.172,dns.nextdns.io
45.90.30.157,dns.nextdns.io
45.90.31.217,dns.nextdns.io
194.71.130.182,dns.nextdns.io
23.247.212.166,dns.nextdns.io
23.247.213.136,dns.nextdns.io
23.247.213.35,dns.nextdns.io
23.247.214.200,dns.nextdns.io
23.247.215.197,dns.nextdns.io
37.252.232.95,dns.nextdns.io
45.90.29.207,dns.nextdns.io
